# PARTITION.tsv - what may be published and what is held.
#
# Douglas set the rule on 2026-09-11: "all of our continuing crypto work is not for the general
# public it wouldnt do anyone any good." The default is therefore HELD, and PUBLIC is the exception
# that has to be argued for. An artifact absent from this file is HELD, because a manifest that
# treats an unlisted file as publishable turns every new document into a leak by default.
#
# HE NARROWED IT THE SAME DAY: "dont include any advantage research, that gives away our advantage.
# precision fair." That draws the line somewhere other than crypto-versus-not. Held is whatever IS
# the advantage, meaning what the engine is pointed at and what was found by pointing it. Fair is the
# precision work itself, because general-purpose arithmetic does not reveal what it is aimed at.
#
# CLASSES
#   PUBLIC    Already published in anchor_sift/theory. Leave where it is.
#   EXTERNAL  Cleared for publication under "precision fair" and not yet out. Ranks with PUBLIC in
#             check_partition.py, since neither constrains a book. Kept distinct from PUBLIC so that
#             "cleared but unpublished" is counted instead of assumed.
#   HELD      Not for the general public. Builds into a held book only.
#
# PENDING IS GONE, AND ITS ROWS ARE NOW HELD. It existed for nine documents whose method is generic
# while every worked example is SHA-256. Under the narrowed rule the examples decide it: a document
# teaching a method through the advantage work carries the advantage. Extracting the generic method
# into something publishable is a new document somebody writes deliberately, and never a
# reclassification of these.
#
# The reclassification moved every undecided row in the fail-closed direction, which needed no
# ruling. The precision work is fair under the narrowed rule and is classified EXTERNAL, which
# Douglas confirmed directly rather than this session inferring it.
#
# TWO GATES, BOTH OF WHICH MUST PASS BEFORE ANYTHING IS EXTERNAL
#
# Douglas set the second one on 2026-09-11, and it is not a restatement of the first:
#
#   "anything that wont give away advantages that we are keeping internal I will share this with
#    other scientists but it would fuck the btc ecosystem up and even though I dont like or approve
#    of it I think thats wrong because people I dont know depend on it"
#
#   GATE 1, ADVANTAGE. Does releasing it give away what the engine is pointed at, or what was found
#                      by pointing it? If yes, HELD. Subject column reads "advantage" or the domain.
#
#   GATE 2, HARM.      Would releasing it damage the people who depend on the network? If yes, HELD,
#                      EVEN WHERE GATE 1 CLEARS IT. Subject column reads "ecosystem".
#
# GATE 2 CAN HOLD SOMETHING GATE 1 RELEASES, and that is the entire reason it is written separately.
# A result can be no advantage to us at all - a structural weakness anybody could rediscover, a
# finding we have no way to use - and still be the wrong thing to hand out, because the cost falls
# on people who never chose to take the risk and are not party to any of this.
#
# The reverse does not hold. Gate 2 never releases anything gate 1 holds. An advantage stays held
# whether or not publishing it would harm anyone.
#
# HOW TO APPLY GATE 2 WITHOUT IT SWALLOWING THE TREE. It asks about the standard and the network,
# never about this repository's fortunes. Publishing the FIPS 180-4 compression function harms
# nobody: it is the specification, implemented correctly, and a tool that regrades every copy of its
# constant table against the primes makes a corrupted table easier to catch rather than harder.
# Publishing interior structure that narrows the search is the case gate 2 exists for.
#
# A NOTE ON WHAT THE SHA-256 RESEARCH ACTUALLY FOUND, since it bears on gate 2 and reads backwards
# otherwise. The transform workbook's hypotheses came back null: survivor counts track the cost
# model exactly, no bit or byte position departs from flat, and the standing constraint is that no
# projection over the digest can reduce the number of evaluations at all. Those results are held
# under gate 1, as method and instruments, and not because they weaken anything.
#
# COLUMNS   path  class  subject  reason
#
# Owner: dstroy0 (Douglas Quigg) <dquigg123@gmail.com>
# Written by the research assistant session, 2026-09-11. Every class below is either quoted from
# Douglas's rule or defaulted to HELD. Nothing was promoted on this session's own judgment.
path	class	subject	reason

# ---------------------------------------------------------------------------------------------
# BOOKS. A book takes the strictest class of anything it includes. check_partition.py enforces it.
# ---------------------------------------------------------------------------------------------
../../anchor_sift/theory/cryptography/sha256/main.tex	PUBLIC	book	The six chapters as published. Read-only to both sessions.
theory/cryptography/sha256/main.tex	HELD	book	Includes five chapters that postdate the published six. See the hazard note below.
theory/held/instruments/main.tex	HELD	book	The four former judgment-call documents. Held: every worked example is the advantage work.

# ---------------------------------------------------------------------------------------------
# THE INSTRUMENTS BOOK. Transcribed from docs/ on 2026-09-11. Four documents Douglas had flagged as
# judgment calls. The narrowed rule settles them HELD: the method is generic, the examples are not.
# ---------------------------------------------------------------------------------------------
theory/held/macros.tex	PUBLIC	layout	Shim forwarding to theory/macros.tex. Carries no content.
theory/held/instruments/frontmatter/titlepage.tex	HELD	layout	Title page of the instruments book.
theory/held/instruments/chapters/chapter_cannot_see.tex	HELD	method	From what-the-instruments-cannot-see.md. Carries the pi control.
theory/held/instruments/chapters/chapter_failure_modes.tex	HELD	method	From failure-modes.md. Six sentences repaired, each listed in the file header.
theory/held/instruments/chapters/chapter_aiming.tex	HELD	method	From aiming-the-engine.md, including the measured 0.0625 gradient floor.
theory/held/instruments/chapters/chapter_transforms.tex	HELD	method	From the-dimensional-transforms.md.

# ---------------------------------------------------------------------------------------------
# THE BOUNDARY BOOK. Transcribed 2026-09-11. All HELD: the subject is a boundary reading and its
# alphabet, and every worked example is SHA-256. Its first chapter is theory/boundary/, which was
# written before any book existed and sat in no main.tex; this book supplies the home it lacked.
# ---------------------------------------------------------------------------------------------
theory/held/boundary/main.tex	HELD	book	The boundary book. Includes the stranded chapter from theory/boundary/.
theory/held/boundary/frontmatter/titlepage.tex	HELD	boundary	Title page of the boundary book.
theory/held/boundary/chapters/chapter_boundary_reading.tex	HELD	boundary	From boundary-reading.md. The three readings and the floor under each.
theory/held/boundary/chapters/chapter_finer_alphabet.tex	HELD	boundary	From finer-alphabet.md. Two ceilings on a subdivided alphabet.
theory/held/boundary/chapters/chapter_deformation.tex	HELD	sha256	From sha256-boundary-deformation.md. The shift register, read as a surface.
theory/held/boundary/chapters/chapter_round_depth.tex	HELD	sha256	From round-depth-experiment.md. A specification, not a result.
theory/held/boundary/chapters/chapter_octant_lexicon.tex	HELD	boundary	From octant-lexicon.md. The eight-letter reading and two withdrawn conclusions.
theory/held/boundary/chapters/chapter_reading_transforms.tex	HELD	boundary	From reading-transforms.md. Thirteen transforms, and which commute with the Laplacian.

# ---------------------------------------------------------------------------------------------
# THE APPARATUS BOOK. Transcribed 2026-09-11, two chapters. Not measurements of SHA-256 but
# the machinery they are taken with. The third candidate, twiddle-proof.md, went to theory/precision/
# instead, because its source is EXTERNAL and a held book is the wrong home for cleared material.
#
# ---------------------------------------------------------------------------------------------
theory/held/apparatus/main.tex	HELD	book	The apparatus book, two chapters.
theory/held/apparatus/frontmatter/titlepage.tex	HELD	apparatus	Title page of the apparatus book.
theory/held/apparatus/chapters/chapter_information_theory.tex	HELD	sha256	From information-theory.md. The Renyi order axis, and the cost term as the finding.
theory/held/apparatus/chapters/chapter_viewer_survey.tex	HELD	software	From viewer-survey.md. The room viewer counted before it is split.

# ---------------------------------------------------------------------------------------------
