# Prose rewrites for maint/fix_prose.py. Three tab separated fields: file, exact text to find,
# replacement. Use \n for a line break inside a field.
#
# This file quotes banned phrases by necessity, since that is what it matches on. The gate does not
# read .tsv, which is why the table lives here and not inside the tool.
#
# Every row below has been applied. They are kept as the record of what was changed and why the
# wording is what it is, and re-running reports them as already applied.
tools/view/README.md	candidates. The rest hardcode a path into this repository and are examples of the pattern rather\nthan tools:	candidates. The rest hardcode a path into this repository and are examples of the pattern,\nnot tools:
tools/view/README.md	Checked by opening each one rather than by pattern: `make_shadow_figure.py` reads as general to a\ngrep for `src/bench` because it builds the path with two nested `dirname` calls, and it is not.	Checked by opening each one and never by pattern: `make_shadow_figure.py` reads as general to a\ngrep for `src/bench` because it builds the path with two nested `dirname` calls, and it is not.
tools/view/README.md	Every general generator takes `--set key=value`, repeatable, so a caller asks for a view instead of\npublishing one and describing which controls to move. An unknown key exits with the list of known\nones, because a typo is otherwise silent and the page just opens looking wrong.	Every general generator takes `--set key=value`, repeatable. A caller asks for a view instead of\npublishing one and describing which controls to move. An unknown key exits with the list of known\nones, because a typo is otherwise silent and the page just opens looking wrong.
tools/view/README.md	series toggle off, y switches to log. It prints which columns it chose so a wrong guess is visible.	series toggle off, y switches to log. It prints which columns it chose, making a wrong guess visible.
tools/view/build_step_view.py	between them, which is the difference itself.	between them: the difference itself.
tools/view/build_step_view.py	# A real 512-bit message tail, so the trace is of something that occurs rather than of zeros.\n# Word 3 is the one --bit 96 through 127 varies.	# A real 512-bit message tail, so the trace is of something that occurs and not of zeros.\n# Word 3 is what --bit 96 through 127 varies.
tools/view/build_step_view.py	"""Every intermediate of every round, kept rather than discarded."""	"""Every intermediate of every round, kept and never discarded."""
tools/view/build_voxel_view.py	    # Word pairs arrive as 16 planes of 8 and are flattened here rather than in the page, because\n    # the template now takes one shape for every field: a list of series over the depth axis. That\n    # is the whole reason it renders any parametric table and not only this one.	    # Word pairs arrive as 16 planes of 8 and are flattened here and not in the page, because\n    # the template now takes one shape for every field: a list of series over the depth axis.\n    # For that reason it renders any parametric table and not only this one.
tools/view/make_shadow_figure.py	# through the other, and a cell at zero is blank rather than a dot, so empty reads as em	# through the other, and a cell at zero is blank and not a dot, so empty reads as em
tools/view/make_shadow_figure.py	# With the class mean removed at each depth, which is the only reading that means anythi	# With the class mean removed at each depth, the only reading that means anythi
src/bench/bench_depth_score.h	The one place	The single place
src/bench/bench_depth_score.h	is exactly the	is the
src/bench/bench_depth_score.h	s exact rather than fitted.	s exact and not fitted.
src/bench/bench_depth_score.h	, which is the	, the
src/bench/bench_depth_score.h	ceiling rather than toward 	ceiling and not toward 
src/bench/bench_depth_score.h	inement rather than a secon	inement and not a secon
src/bench/bench_load_limit.h	r turns rather than for cor	r turns and not for cor
src/bench/bench_load_limit.h	 things rather than one. Th	 things and not one. Th
src/bench/bench_load_limit.h	on purpose	deliberately
