# MANIFEST. One row per authored file: which tree, path, bytes, SHA-256.
#
# SIGN THIS FILE, NOT THE CORPUS. One signature over a list of digests covers
# every byte the list names, and it stays one deliberate act by a person.
# Signing every file separately multiplies attestations without adding
# information, and turns a human attestation into a build step.
#
# Then anchor the signature: `ots stamp manifest.tsv.asc`. The signature says
# who and the anchor says when, and neither answers the other's question.
#
# KEEP THIS FILE PRIVATE WHILE THE WORK IS HELD. The anchor is over a digest and
# discloses nothing; this file names paths and therefore does.
#
# tree	path	bytes	sha256
BTC	.claude/settings.json	44	c9a5bd50ccbbaaddb1a5557d21bf0d900b185c6214162d393c90c6c723f16e2b
BTC	.claude/settings.local.json	79	b13bddff797b522cb48e3994269b80d055cf49c045b5d3311f8a0e9f43367805
BTC	.gitignore	1528	ae35ec5c7700845fe5e325da0330079b96526351b820e461bbf6ba9b3f56cbd3
BTC	README.md	4851	49821f38fd02469860dfe679e80f389146f10ad21378b6ab51417a9fb391ba68
BTC	build_cuda.ps1	2518	acaee35daa75c28c97cc33bbbb15713e7c2be0d61e8599f88360381f27bb71bc
BTC	build_miner.ps1	2026	f2fdf8bfd6cfd9a05b13d696651e610ef1a7a6fadd0dc23e5d0b807022dcb1e5
BTC	build_renyi_cuda.ps1	3295	c576e739c0df10d97ddcf54b2f85845922d29b56b21a2f12773f30f5fd987e70
BTC	build_scope.ps1	4217	62d6deea7b67d492f51641e812b1c536cc621dd36a0f2a87ab8f33ecb4c90cbf
BTC	docs/aiming-the-engine.md	14690	52a8831995eb784780e1b299fde21deef75b6f5939676be6506bb07986695daa
BTC	docs/arm-records.md	18447	5fb83069104a3750c635c2df2736d4aa664dcdfedc51058f48911dbb84911741
BTC	docs/audit-2026-09-11.md	40877	e475c8c41e248c38d776c26697985a16a1811c947c1032dc0a7ea9f93935e22d
BTC	docs/boundary-counting.md	29270	260e0e8a59647300598bdb402318e66f2675a09f100798e361dc38a43a7edfaf
BTC	docs/boundary-reading.md	12216	7c4b9af7293c126c0e4aea20578b081065551944115ba8d825f8d022002cdbed
BTC	docs/engine-workbook.md	23746	fd6330706d23e9fb84b6e7a0f742c35bfa8c0590f1a929e6402946be4e368aa9
BTC	docs/failure-modes.md	18384	21c5f146a49c0a3ae42a635c7723a1d0755539fb7e0cf17d7a4a42c4c9975cf4
BTC	docs/figures/state-deformation/README.md	5322	3802d9bef6015f7ecdda679a6bd85b595fec7dcead625c81c20bfc4b17a3ac06
BTC	docs/figures/state-deformation/core-zoom-op122.png	125941	fac7a3e32273dc6d1933483a5a63aac09badcdaf2177c98d51c1f03e2a63fa3c
BTC	docs/figures/state-deformation/round-01.jpg	12039	e6fedfc046b8abe9646a9e8bdc3eebd2dd0fff74e6f8aebaf2ea771454211b92
BTC	docs/figures/state-deformation/round-03.jpg	12081	d010507d321a6d3d03a27600338efd0927c0b43eed53d8fbecab8daa4b57533e
BTC	docs/figures/state-deformation/round-05.jpg	12292	34c090f176c2d33dd4d96b8cbd71dc89189989c9c56591bc4a46d5030679ba17
BTC	docs/figures/state-deformation/round-07.jpg	12280	fca1790d5bb922ce12e49352258ac3d5d050719d41acbc9fabc88e48a9e39796
BTC	docs/figures/state-deformation/round-09.jpg	12134	24badf8d8c168b8a7d32d3d8d9754fca2458e140f6483af2dabace0ad3cd3227
BTC	docs/figures/state-deformation/round-11.jpg	12257	15acd405ea8f5140ea55a655ff76c8f355df9beba7f91d52052b8cef5e6540f5
BTC	docs/figures/state-deformation/round-13.jpg	12384	d4c59a4a70c0b3e21402dd1e0cc797bdbbe5406b7ecf5e209e4e678ea0a52ff8
BTC	docs/figures/state-deformation/round-15.jpg	12101	5611264baff7cbdbd84fba7ce1ed0c92c32c38eb21189e20c48d60a4476428ab
BTC	docs/figures/state-deformation/round-17.jpg	12343	45f1b4adcd4806c2c11ab1b15171380bbd3bc07bd819d8aac0d9efe54737ffe4
BTC	docs/figures/state-deformation/round-19.jpg	12322	51e7203a3f979e3ac5f2836967455b931e531899175360243c25983002001d04
