# The example catalog. Append only: a number is issued once and never moves.
# Written by tools/maintain/catalog.py --assign.
# state is live where the file is there and retired where it is gone.
catalog	state	path
ANY-1-001	live	examples/any_corpus/1_represent/one_symbol_one_byte.py
ANY-2-001	live	examples/any_corpus/2_partition/carrying_dimensions_through_one.py
ANY-2-002	live	examples/any_corpus/2_partition/read_dimension.py
ANY-3-001	live	examples/any_corpus/3_reference/cipher_cannot_erase.py
ANY-3-002	live	examples/any_corpus/3_reference/heterogeneity_control.py
ANY-3-003	live	examples/any_corpus/3_reference/span_of_structure.py
ANY-3-004	live	examples/any_corpus/3_reference/unselected_controls.py
ANY-4-001	live	examples/any_corpus/4_measure/collision_entropy.py
ANY-4-002	live	examples/any_corpus/4_measure/head_and_tail.py
ANY-4-003	live	examples/any_corpus/4_measure/ladder_sweep.py
ANY-4-004	live	examples/any_corpus/4_measure/noise_detection.py
ANY-4-005	live	examples/any_corpus/4_measure/order_of_context.py
ANY-4-006	live	examples/any_corpus/4_measure/point_cloud.py
ANY-4-007	live	examples/any_corpus/4_measure/point_volume.py
ANY-4-008	live	examples/any_corpus/4_measure/what_a_summary_returns.py
ANY-4-009	live	examples/any_corpus/4_measure/which_corpora_read_their_numbering.py
ANY-4-010	live	examples/any_corpus/4_measure/which_is_constant.py
ANY-5-001	live	examples/any_corpus/5_sift/selection_rules.py
ART-1-001	live	examples/art/1_represent/picture_true_size.py
ART-2-001	live	examples/art/2_partition/morton_squash.py
ART-4-001	live	examples/art/4_measure/a_picture_returns_its_width.py
ART-4-002	live	examples/art/4_measure/picture_width_agreement.py
ART-4-003	live	examples/art/4_measure/regeneration_limit.py
ART-4-004	live	examples/art/4_measure/scale_ladder.py
CRY-6-001	live	examples/crystals/6_oracle/proof_positive_control.py
LNG-1-001	live	examples/language/1_represent/akshara_web.py
LNG-1-002	live	examples/language/1_represent/binary_web.py
LNG-1-003	live	examples/language/1_represent/case_channel.py
LNG-1-004	live	examples/language/1_represent/encode_percussive.py
LNG-1-005	live	examples/language/1_represent/seating_invariance.py
LNG-1-006	live	examples/language/1_represent/to_phonemes.py
LNG-2-001	live	examples/language/2_partition/mine_ngram_orders.py
LNG-2-002	live	examples/language/2_partition/minimum_alphabet.py
LNG-2-003	live	examples/language/2_partition/morpheme_convergence.py
LNG-3-001	live	examples/language/3_reference/parallel_web.py
LNG-3-002	live	examples/language/3_reference/signature_control.py
LNG-4-001	live	examples/language/4_measure/author_test.py
LNG-4-002	live	examples/language/4_measure/byte_signature.py
LNG-4-003	live	examples/language/4_measure/case_cue.py
LNG-4-004	live	examples/language/4_measure/case_or_splitting.py
LNG-4-005	live	examples/language/4_measure/category_or_inflection.py
LNG-4-006	live	examples/language/4_measure/chicago_bibliography.py
LNG-4-007	live	examples/language/4_measure/clean_dravidian.py
LNG-4-008	live	examples/language/4_measure/click_letters.py
LNG-4-009	live	examples/language/4_measure/cluster_branch.py
LNG-4-010	live	examples/language/4_measure/cluster_profiles.py
LNG-4-011	live	examples/language/4_measure/cross_corpus.py
LNG-4-012	live	examples/language/4_measure/deeper_web.py
LNG-4-013	live	examples/language/4_measure/descriptor_bakeoff.py
LNG-4-014	live	examples/language/4_measure/drav_inventory.py
LNG-4-015	live	examples/language/4_measure/dravidian_structure.py
LNG-4-016	live	examples/language/4_measure/evidential_pressure.py
LNG-4-017	live	examples/language/4_measure/german_centuries.py
LNG-4-018	live	examples/language/4_measure/german_variation.py
LNG-4-019	live	examples/language/4_measure/head_tail_parts.py
LNG-4-020	live	examples/language/4_measure/identity.py
LNG-4-021	live	examples/language/4_measure/indic_common.py
LNG-4-022	live	examples/language/4_measure/japanese_variation.py
LNG-4-023	live	examples/language/4_measure/language_constant.py
LNG-4-024	live	examples/language/4_measure/language_convergence.py
LNG-4-025	live	examples/language/4_measure/language_identity.py
LNG-4-026	live	examples/language/4_measure/malagasy_test.py
LNG-4-027	live	examples/language/4_measure/measure_drift.py
LNG-4-028	live	examples/language/4_measure/nguni_test.py
LNG-4-029	live	examples/language/4_measure/onomatopoeia_overlap.py
LNG-4-030	live	examples/language/4_measure/phoneme_lexer.py
LNG-4-031	live	examples/language/4_measure/positional_ambiguity.py
LNG-4-032	live	examples/language/4_measure/prime_ranks.py
LNG-4-033	live	examples/language/4_measure/procedure_arc.py
LNG-4-034	live	examples/language/4_measure/register_bands.py
LNG-4-035	live	examples/language/4_measure/scale_profile.py
LNG-4-036	live	examples/language/4_measure/script_confound.py
LNG-4-037	live	examples/language/4_measure/script_or_language.py
LNG-4-038	live	examples/language/4_measure/source_or_language.py
LNG-4-039	live	examples/language/4_measure/structural_web.py
LNG-4-040	live	examples/language/4_measure/syncretism.py
LNG-4-041	live	examples/language/4_measure/tone_oracle.py
LNG-4-042	live	examples/language/4_measure/top_words.py
LNG-4-043	live	examples/language/4_measure/uralic_test.py
LNG-4-044	live	examples/language/4_measure/what_carries_it.py
LNG-4-045	live	examples/language/4_measure/word_burstiness.py
LNG-4-046	live	examples/language/4_measure/word_length_families.py
LNG-6-001	live	examples/language/6_oracle/control_values.py
LNG-6-002	live	examples/language/6_oracle/gloss_harvest.py
LNG-6-003	live	examples/language/6_oracle/language_families.py
PRF-x-001	live	examples/proofs/posits/proof_conservation.py
PRF-x-002	live	examples/proofs/posits/proof_corpus_audit.py
PRF-x-003	live	examples/proofs/posits/proof_null_property.py
PRF-x-004	live	examples/proofs/posits/proof_symbol_width.py
PRO-1-001	live	examples/proteins/1_represent/protein_bonds.py
PRO-1-002	live	examples/proteins/1_represent/protein_chain.py
PRO-2-001	live	examples/proteins/2_partition/protein_dimension.py
PRO-5-001	live	examples/proteins/5_sift/protein_domain.py
SND-1-001	live	examples/sound/1_represent/vocalization_scale.py
SRC-1-001	live	examples/source/1_represent/bracket_pairs.py
SRC-4-001	live	examples/source/4_measure/asm_idiom.py
SRC-4-002	live	examples/source/4_measure/formal_layer.py
SRC-4-003	live	examples/source/4_measure/layout_grid.py
