first_seen	line	lead
2026-09-02	39	No completeness.
2026-09-02	42	Three corollaries.
2026-09-02	45	Collision entropy is permutation invariant, so it cannot detect an arrangement.
2026-09-02	52	What is derivable here and what is not falls exactly on the line between the two propositions.
2026-09-02	69	The shuffle is the maximum entropy background, which is why it cannot be wrong.
2026-09-04	74	Exactly one distribution maximizes entropy under a given constraint, and that is where the finality comes from.
2026-09-04	84	That reference is necessarily memoryless, which is why the memoryless control returns 1.00 and is not a baseline anybody chose.
2026-09-04	102	The permutation null and the memoryless control are not the same object, and the difference is finite sample.
2026-09-02	109	The maximum entropy domain is the best case for this filter, so $2^{-H_2}$ per anchor is a floor.
2026-09-02	121	It is also the largest difference obtainable.
2026-09-02	140	Ownership of the three guarantees.
2026-09-02	177	Collision entropy is close to a constant for a language, so the quantities derived from it are too.
2026-09-02	194	It does not survive a change of source, so it is not a property of the language.
2026-09-02	207	Corruption is detectable from the histogram, and windowing the histogram locates it.
2026-09-04	223	The same test runs at every window and does not stop where the estimator breaks.
2026-09-02	232	An unnamed quantity in the halving ladder.
2026-09-02	285	How many anchors to place is the log of the domain in the effective alphabet.
2026-09-02	293	The cut per anchor is the constant Section 4.4 names, checked without fitting.
2026-09-02	301	A language carries constants of its own, and the arrangement measure is not one of them.
2026-09-02	321	That finding is published and belongs to Montemurro and Zanette.
2026-09-02	333	The rare half also departs from the null on a second source and in four more language families.
2026-09-02	344	The published semantic primes are not the frequent half, and they divide along the same line it does.
2026-09-02	362	The rare half departs from the null in every kind of writing, and the frequent half does not.
2026-09-02	376	Folding line endings is right for prose and wrong for source, and it moved one measure and not the other.
2026-09-02	388	In a formal language the human layer is measurable because it is definitionally what the compiler discards.
2026-09-02	396	The case channel is community convention and it does not separate formal languages from prose.
2026-09-02	406	The language labels on that source are not reliable and the ones carrying findings were checked.
2026-09-02	416	VHDL is the strongest case of a convention with no machine content, because the language cannot see it.
2026-09-02	428	The control that was missing all along: a structured domain with no author and no selection.
2026-09-02	442	Nor is the signature human, on the fairest comparison available.
2026-09-04	459	The slice was wrong for a vocalization and correcting it changes the answer.
